CourseCode;Name;StartDate;EndDate;Location;MaterialType;Description;MatCode;MainCategory;SubCategory1;SubCategory2
566003;Moderni Java EE -sovellus;10.10.2018;12.10.2018;Online;PDF;Java EE on kokonaisuus. Laaja kokonaisuus. Spesifikaation versio 7 luettelee 30 eri teknologiaa. Älä käytä aikaasi tekniikkakohtaiseen silpputietoon vaan opettele kerralla arkkitehtuuri kannasta selaimeen - modernisti JavaScript-käyttöliittymällä.Oletpa siirtymässä Java EE -projektiin tai etsimässä uusia EE-tuulia työurallesi, on ehdottomasti järkevintä selättää opiskelukynnys koulutuksen kautta.;True;Technology;Databases and Analytics;Database Programming
566336;20461: Querying Microsoft SQL Server;24.9.2018;26.9.2018;Pasila;PDF;TSQL: helppoa kuin heinänteko!Osaatko CTE:t, OVER ja PARTITION -haut, RANK-funktiot, APPLY-operaattorin?Tämä kurssi on SQL Serverin Transact SQL-kielen peruskurssi. Kurssin tavoitteena on perehdyttää osallistujat TSQL-kielen käyttöön, funktioihin ja komentoihin.;True;Technology;Databases and Analytics;Database Programming
566337;20461: Querying Microsoft SQL Server;24.9.2018;26.9.2018;Online;PDF;TSQL: helppoa kuin heinänteko!Osaatko CTE:t, OVER ja PARTITION -haut, RANK-funktiot, APPLY-operaattorin?Tämä kurssi on SQL Serverin Transact SQL-kielen peruskurssi. Kurssin tavoitteena on perehdyttää osallistujat TSQL-kielen käyttöön, funktioihin ja komentoihin.;True;Technology;Databases and Analytics;Database Programming
567053;20461: Querying Microsoft SQL Server;3.12.2018;5.12.2018;Pasila;PDF;TSQL: helppoa kuin heinänteko!Osaatko CTE:t, OVER ja PARTITION -haut, RANK-funktiot, APPLY-operaattorin?Tämä kurssi on SQL Serverin Transact SQL-kielen peruskurssi. Kurssin tavoitteena on perehdyttää osallistujat TSQL-kielen käyttöön, funktioihin ja komentoihin.;True;Technology;Databases and Analytics;Database Programming
567054;20461: Querying Microsoft SQL Server;3.12.2018;5.12.2018;Online;PDF;TSQL: helppoa kuin heinänteko!Osaatko CTE:t, OVER ja PARTITION -haut, RANK-funktiot, APPLY-operaattorin?Tämä kurssi on SQL Serverin Transact SQL-kielen peruskurssi. Kurssin tavoitteena on perehdyttää osallistujat TSQL-kielen käyttöön, funktioihin ja komentoihin.;True;Technology;Databases and Analytics;Database Programming
565995;Projektihallinnan valmennus ICT-projektipäälliköille;8.11.2018;9.11.2018;Pasila;PDF;Kuinka osaat toimia haastavassa ja alati muuttuvassa projektimaailmassa? Mitä sinun pitää tietää ja tehdä onnistuaksesi ICT-projekteissa?;True;Leadership;Project Management
567080;JavaScript-sovelluskehitys;11.12.2018;12.12.2018;Online;PDF;Kurssilla siirryt JavaScript-opiskelussa tehokkaasti nollasta sataan teorian sekä useiden harjoitusten avulla.;True;Technology;Software Development;Web Development
567081;JavaScript-sovelluskehitys;11.12.2018;12.12.2018;Pasila;PDF;Kurssilla siirryt JavaScript-opiskelussa tehokkaasti nollasta sataan teorian sekä useiden harjoitusten avulla.;True;Technology;Software Development;Web Development
566931;JavaScript-sovelluskehitys;11.3.2019;12.3.2019;Online;PDF;Kurssilla siirryt JavaScript-opiskelussa tehokkaasti nollasta sataan teorian sekä useiden harjoitusten avulla.;True;Technology;Software Development;Web Development
566930;JavaScript-sovelluskehitys;11.3.2019;12.3.2019;Pasila;PDF;Kurssilla siirryt JavaScript-opiskelussa tehokkaasti nollasta sataan teorian sekä useiden harjoitusten avulla.;True;Technology;Software Development;Web Development
566995;JavaScript-sovelluskehitys;21.3.2019;22.3.2019;Pasila;PDF;Kurssilla siirryt JavaScript-opiskelussa tehokkaasti nollasta sataan teorian sekä useiden harjoitusten avulla.;True;Technology;Software Development;Web Development
566996;JavaScript-sovelluskehitys;21.3.2019;22.3.2019;Online;PDF;Kurssilla siirryt JavaScript-opiskelussa tehokkaasti nollasta sataan teorian sekä useiden harjoitusten avulla.;True;Technology;Software Development;Web Development
565453;Cisco Routing & Switching;3.9.2018;5.9.2018;Pasila;PDF;Lähiverkon ja verkkoyhteyksien keskeytymätön toiminta korostuu pilvipalvelujen myötä ja puhe- sekä videopalvelujen siirtyessä osaksi lähiverkon palveluja. Tällä kurssilla käydään läpi ne tekniikat, jotka lähiverkon ylläpitäjän on "pakko osata" Osaatko sinä jo nämä?&nbsp;;True;Technology;Infra;Communication Networks
565454;Cisco Routing & Switching;3.9.2018;5.9.2018;Online;PDF;Lähiverkon ja verkkoyhteyksien keskeytymätön toiminta korostuu pilvipalvelujen myötä ja puhe- sekä videopalvelujen siirtyessä osaksi lähiverkon palveluja. Tällä kurssilla käydään läpi ne tekniikat, jotka lähiverkon ylläpitäjän on "pakko osata" Osaatko sinä jo nämä?&nbsp;;True;Technology;Infra;Communication Networks
566128;Cisco Routing & Switching;15.10.2018;17.10.2018;Pasila;PDF;Lähiverkon ja verkkoyhteyksien keskeytymätön toiminta korostuu pilvipalvelujen myötä ja puhe- sekä videopalvelujen siirtyessä osaksi lähiverkon palveluja. Tällä kurssilla käydään läpi ne tekniikat, jotka lähiverkon ylläpitäjän on "pakko osata" Osaatko sinä jo nämä?&nbsp;;True;Technology;Infra;Communication Networks
566129;Cisco Routing & Switching;15.10.2018;17.10.2018;Online;PDF;Lähiverkon ja verkkoyhteyksien keskeytymätön toiminta korostuu pilvipalvelujen myötä ja puhe- sekä videopalvelujen siirtyessä osaksi lähiverkon palveluja. Tällä kurssilla käydään läpi ne tekniikat, jotka lähiverkon ylläpitäjän on "pakko osata" Osaatko sinä jo nämä?&nbsp;;True;Technology;Infra;Communication Networks
565455;Cisco Routing & Switching;3.12.2018;5.12.2018;Pasila;PDF;Lähiverkon ja verkkoyhteyksien keskeytymätön toiminta korostuu pilvipalvelujen myötä ja puhe- sekä videopalvelujen siirtyessä osaksi lähiverkon palveluja. Tällä kurssilla käydään läpi ne tekniikat, jotka lähiverkon ylläpitäjän on "pakko osata" Osaatko sinä jo nämä?&nbsp;;True;Technology;Infra;Communication Networks
565456;Cisco Routing & Switching;3.12.2018;5.12.2018;Online;PDF;Lähiverkon ja verkkoyhteyksien keskeytymätön toiminta korostuu pilvipalvelujen myötä ja puhe- sekä videopalvelujen siirtyessä osaksi lähiverkon palveluja. Tällä kurssilla käydään läpi ne tekniikat, jotka lähiverkon ylläpitäjän on "pakko osata" Osaatko sinä jo nämä?&nbsp;;True;Technology;Infra;Communication Networks
565897;PKI ja varmenteet 1.2.3;8.10.2018;8.10.2018;Pasila;PDF;Joudutko ylläpitämään varmenteita (sertifikaatteja) niitä tarkemmin tuntematta? Opi ja kuule varmenteiden hyödyntämisskenaarioista tässä päivän tiukassa tietopaketissa. Ilmoittaudu pikimmiten, jotta seuraavaa varmennetta hakiessasi tai uusiessasi tiedät, mitä oikeasti olet tekemässä.;False;Technology;Infra;Windows Workstations
565898;PKI ja varmenteet 1.2.3;8.10.2018;8.10.2018;Online;PDF;Joudutko ylläpitämään varmenteita (sertifikaatteja) niitä tarkemmin tuntematta? Opi ja kuule varmenteiden hyödyntämisskenaarioista tässä päivän tiukassa tietopaketissa. Ilmoittaudu pikimmiten, jotta seuraavaa varmennetta hakiessasi tai uusiessasi tiedät, mitä oikeasti olet tekemässä.;False;Technology;Infra;Windows Workstations
566997;Office 365 - tai Exchange-sähköpostin hallinta;9.4.2019;11.4.2019;Pasila;PDF;Tämä kurssi keskittyy sähköpostiympäristön ja sen eri toimintojen hallintaan, oli se sitten Office 365:n osana tai paikallisilla Exchange 2016/2013 -palvelimilla. Jos työskentelet hallinnan lisäksi Exchange 2016/2013:n asennuksien ja käyttöönottojen parissa, suosittelemme lisäksi kurssien 20345-1 ja 20345-2 käymistä.;True;Technology;Infra;Microsoft Cloud-services
566998;Office 365 - tai Exchange-sähköpostin hallinta;9.4.2019;11.4.2019;Online;PDF;Tämä kurssi keskittyy sähköpostiympäristön ja sen eri toimintojen hallintaan, oli se sitten Office 365:n osana tai paikallisilla Exchange 2016/2013 -palvelimilla. Jos työskentelet hallinnan lisäksi Exchange 2016/2013:n asennuksien ja käyttöönottojen parissa, suosittelemme lisäksi kurssien 20345-1 ja 20345-2 käymistä.;True;Technology;Infra;Microsoft Cloud-services
565277;Office 365 - tai Exchange-sähköpostin hallinta;10.12.2018;12.12.2018;Pasila;PDF;Tämä kurssi keskittyy sähköpostiympäristön ja sen eri toimintojen hallintaan, oli se sitten Office 365:n osana tai paikallisilla Exchange 2016/2013 -palvelimilla. Jos työskentelet hallinnan lisäksi Exchange 2016/2013:n asennuksien ja käyttöönottojen parissa, suosittelemme lisäksi kurssien 20345-1 ja 20345-2 käymistä.;True;Technology;Infra;Microsoft Cloud-services
565278;Office 365 - tai Exchange-sähköpostin hallinta;10.12.2018;12.12.2018;Online;PDF;Tämä kurssi keskittyy sähköpostiympäristön ja sen eri toimintojen hallintaan, oli se sitten Office 365:n osana tai paikallisilla Exchange 2016/2013 -palvelimilla. Jos työskentelet hallinnan lisäksi Exchange 2016/2013:n asennuksien ja käyttöönottojen parissa, suosittelemme lisäksi kurssien 20345-1 ja 20345-2 käymistä.;True;Technology;Infra;Microsoft Cloud-services
566069;20410 & 20411 Windows Server 2012 R2 käyttöönotto ja hallinta;2.10.2018;5.10.2018;Pasila;PDF;Windows Server 2012 (R2) on suuri muutos! Suurempi kuin ehkä uskoitkaan. Serveri tutuksi!;True;Technology;Infra;Server Operating Systems
566070;20410 & 20411 Windows Server 2012 R2 käyttöönotto ja hallinta;2.10.2018;5.10.2018;Online;PDF;Windows Server 2012 (R2) on suuri muutos! Suurempi kuin ehkä uskoitkaan. Serveri tutuksi!;True;Technology;Infra;Server Operating Systems
565379;Excel PowerPivot;6.11.2018;7.11.2018;Pasila;;Haluatko yhdistää ja analysoida tietoa monesta eri lähteestä ja esittää sen valmiina raporttina? PowerPivot on parasta mitä Excelissä on tapahtunut todella pitkään aikaan. Se on mahtava työkalu, jolla noudetaan, analysoidaan ja mallinnetaan tietoa valmiiksi raportoitavaan muotoon.;True;Productivity;Business Applications;Spreadsheets and Reporting
566920;Excel PowerPivot;11.3.2019;12.3.2019;Pasila;;Haluatko yhdistää ja analysoida tietoa monesta eri lähteestä ja esittää sen valmiina raporttina? PowerPivot on parasta mitä Excelissä on tapahtunut todella pitkään aikaan. Se on mahtava työkalu, jolla noudetaan, analysoidaan ja mallinnetaan tietoa valmiiksi raportoitavaan muotoon.;True;Productivity;Business Applications;Spreadsheets and Reporting
566921;Excel PowerPivot;11.3.2019;12.3.2019;Online;;Haluatko yhdistää ja analysoida tietoa monesta eri lähteestä ja esittää sen valmiina raporttina? PowerPivot on parasta mitä Excelissä on tapahtunut todella pitkään aikaan. Se on mahtava työkalu, jolla noudetaan, analysoidaan ja mallinnetaan tietoa valmiiksi raportoitavaan muotoon.;True;Productivity;Business Applications;Spreadsheets and Reporting
566922;Excel PowerPivot;13.6.2019;14.6.2019;Pasila;;Haluatko yhdistää ja analysoida tietoa monesta eri lähteestä ja esittää sen valmiina raporttina? PowerPivot on parasta mitä Excelissä on tapahtunut todella pitkään aikaan. Se on mahtava työkalu, jolla noudetaan, analysoidaan ja mallinnetaan tietoa valmiiksi raportoitavaan muotoon.;True;Productivity;Business Applications;Spreadsheets and Reporting
566923;Excel PowerPivot;13.6.2019;14.6.2019;Online;;Haluatko yhdistää ja analysoida tietoa monesta eri lähteestä ja esittää sen valmiina raporttina? PowerPivot on parasta mitä Excelissä on tapahtunut todella pitkään aikaan. Se on mahtava työkalu, jolla noudetaan, analysoidaan ja mallinnetaan tietoa valmiiksi raportoitavaan muotoon.;True;Productivity;Business Applications;Spreadsheets and Reporting
565380;Excel PowerPivot;6.11.2018;7.11.2018;Online;;Haluatko yhdistää ja analysoida tietoa monesta eri lähteestä ja esittää sen valmiina raporttina? PowerPivot on parasta mitä Excelissä on tapahtunut todella pitkään aikaan. Se on mahtava työkalu, jolla noudetaan, analysoidaan ja mallinnetaan tietoa valmiiksi raportoitavaan muotoon.;True;Productivity;Business Applications;Spreadsheets and Reporting
566580;Excel PowerPivot;4.12.2018;5.12.2018;Pasila;;Haluatko yhdistää ja analysoida tietoa monesta eri lähteestä ja esittää sen valmiina raporttina? PowerPivot on parasta mitä Excelissä on tapahtunut todella pitkään aikaan. Se on mahtava työkalu, jolla noudetaan, analysoidaan ja mallinnetaan tietoa valmiiksi raportoitavaan muotoon.;True;Productivity;Business Applications;Spreadsheets and Reporting
566581;Excel PowerPivot;4.12.2018;5.12.2018;Online;;Haluatko yhdistää ja analysoida tietoa monesta eri lähteestä ja esittää sen valmiina raporttina? PowerPivot on parasta mitä Excelissä on tapahtunut todella pitkään aikaan. Se on mahtava työkalu, jolla noudetaan, analysoidaan ja mallinnetaan tietoa valmiiksi raportoitavaan muotoon.;True;Productivity;Business Applications;Spreadsheets and Reporting
566479;Microsoft Dynamics 365 Customer Engagement (CRM) peruskurssi;19.11.2018;19.11.2018;Pasila;Kirja tai muu tuloste;Microsoft Dynamics CRM on myyjän paras ystävä silloin, kun meneillään on paljon työstettävää ja samalla halutaan varmistaa hyvä asiakaspalvelu ja asiakkaiden säännöllinen kontaktointi. Ota väline hyötykäyttöön ja valjasta se myyntityön avuksi.;True;Productivity;Sales and Marketing;CRM Courses
566480;Microsoft Dynamics 365 Customer Engagement (CRM) peruskurssi;19.11.2018;19.11.2018;Online;Kirja tai muu tuloste;Microsoft Dynamics CRM on myyjän paras ystävä silloin, kun meneillään on paljon työstettävää ja samalla halutaan varmistaa hyvä asiakaspalvelu ja asiakkaiden säännöllinen kontaktointi. Ota väline hyötykäyttöön ja valjasta se myyntityön avuksi.;True;Productivity;Sales and Marketing;CRM Courses
566883;80542 Customization and Configuration in Microsoft Dynamics CRM;4.3.2019;6.3.2019;Pasila;;Tämä kurssi antaa erittäin laajan ymmärryksen järjestelmän tarjoamista erilaisista mukautusmahdollisuuksista. Kurssilla pääset harjoittelemaan mukauttamista ja järjestelmän konfigurointia Sovelton asiantuntevien kouluttajien opastuksella.;True;Productivity;Sales and Marketing;CRM Courses
566884;80542 Customization and Configuration in Microsoft Dynamics CRM;4.3.2019;6.3.2019;Online;;Tämä kurssi antaa erittäin laajan ymmärryksen järjestelmän tarjoamista erilaisista mukautusmahdollisuuksista. Kurssilla pääset harjoittelemaan mukauttamista ja järjestelmän konfigurointia Sovelton asiantuntevien kouluttajien opastuksella.;True;Productivity;Sales and Marketing;CRM Courses
565136;10961 Automating Administration with Windows PowerShell;12.9.2018;14.9.2018;Pasila;;PowerShell on jatkossa - ja jo tänään - osa IT-ammattilaisen välttämättömiä taitoja. Oletko jo päässyt käyttämään PowerShell-komentoja ja palat halusta oppia PowerShellin hyödyntämisestä kaiken?;True;Technology;Infra;Windows Workstations
565137;10961 Automating Administration with Windows PowerShell;12.9.2018;14.9.2018;Online;;PowerShell on jatkossa - ja jo tänään - osa IT-ammattilaisen välttämättömiä taitoja. Oletko jo päässyt käyttämään PowerShell-komentoja ja palat halusta oppia PowerShellin hyödyntämisestä kaiken?;True;Technology;Infra;Windows Workstations
565557;10961 Automating Administration with Windows PowerShell;19.11.2018;21.11.2018;Pasila;;PowerShell on jatkossa - ja jo tänään - osa IT-ammattilaisen välttämättömiä taitoja. Oletko jo päässyt käyttämään PowerShell-komentoja ja palat halusta oppia PowerShellin hyödyntämisestä kaiken?;True;Technology;Infra;Windows Workstations
565558;10961 Automating Administration with Windows PowerShell;19.11.2018;21.11.2018;Online;;PowerShell on jatkossa - ja jo tänään - osa IT-ammattilaisen välttämättömiä taitoja. Oletko jo päässyt käyttämään PowerShell-komentoja ja palat halusta oppia PowerShellin hyödyntämisestä kaiken?;True;Technology;Infra;Windows Workstations
566810;10961 Automating Administration with Windows PowerShell;23.1.2019;25.1.2019;Pasila;;PowerShell on jatkossa - ja jo tänään - osa IT-ammattilaisen välttämättömiä taitoja. Oletko jo päässyt käyttämään PowerShell-komentoja ja palat halusta oppia PowerShellin hyödyntämisestä kaiken?;True;Technology;Infra;Windows Workstations
566811;10961 Automating Administration with Windows PowerShell;23.1.2019;25.1.2019;Online;;PowerShell on jatkossa - ja jo tänään - osa IT-ammattilaisen välttämättömiä taitoja. Oletko jo päässyt käyttämään PowerShell-komentoja ja palat halusta oppia PowerShellin hyödyntämisestä kaiken?;True;Technology;Infra;Windows Workstations
566812;10961 Automating Administration with Windows PowerShell;3.4.2019;5.4.2019;Pasila;;PowerShell on jatkossa - ja jo tänään - osa IT-ammattilaisen välttämättömiä taitoja. Oletko jo päässyt käyttämään PowerShell-komentoja ja palat halusta oppia PowerShellin hyödyntämisestä kaiken?;True;Technology;Infra;Windows Workstations
566813;10961 Automating Administration with Windows PowerShell;3.4.2019;5.4.2019;Online;;PowerShell on jatkossa - ja jo tänään - osa IT-ammattilaisen välttämättömiä taitoja. Oletko jo päässyt käyttämään PowerShell-komentoja ja palat halusta oppia PowerShellin hyödyntämisestä kaiken?;True;Technology;Infra;Windows Workstations
565189;PowerShell 1.2.3;19.10.2018;19.10.2018;Pasila;PDF;Kurssin jälkeen tunnet PowerShellin perusteet ja pääset hyödyntämään opittuja taitoja välittömästi. Kurssilla pääset myös tekemään harjoituksia kouluttajan avustuksella.;True;Technology;Infra;Windows Workstations
565190;PowerShell 1.2.3;19.10.2018;19.10.2018;Online;PDF;Kurssin jälkeen tunnet PowerShellin perusteet ja pääset hyödyntämään opittuja taitoja välittömästi. Kurssilla pääset myös tekemään harjoituksia kouluttajan avustuksella.;True;Technology;Infra;Windows Workstations
566320;PowerShell 1.2.3;29.10.2018;29.10.2018;Pasila;PDF;Kurssin jälkeen tunnet PowerShellin perusteet ja pääset hyödyntämään opittuja taitoja välittömästi. Kurssilla pääset myös tekemään harjoituksia kouluttajan avustuksella.;True;Technology;Infra;Windows Workstations
566321;PowerShell 1.2.3;29.10.2018;29.10.2018;Online;PDF;Kurssin jälkeen tunnet PowerShellin perusteet ja pääset hyödyntämään opittuja taitoja välittömästi. Kurssilla pääset myös tekemään harjoituksia kouluttajan avustuksella.;True;Technology;Infra;Windows Workstations
567007;PowerShell 1.2.3;15.1.2019;15.1.2019;Pasila;PDF;Kurssin jälkeen tunnet PowerShellin perusteet ja pääset hyödyntämään opittuja taitoja välittömästi. Kurssilla pääset myös tekemään harjoituksia kouluttajan avustuksella.;True;Technology;Infra;Windows Workstations
567008;PowerShell 1.2.3;15.1.2019;15.1.2019;Online;PDF;Kurssin jälkeen tunnet PowerShellin perusteet ja pääset hyödyntämään opittuja taitoja välittömästi. Kurssilla pääset myös tekemään harjoituksia kouluttajan avustuksella.;True;Technology;Infra;Windows Workstations
567009;PowerShell 1.2.3;22.3.2019;22.3.2019;Pasila;PDF;Kurssin jälkeen tunnet PowerShellin perusteet ja pääset hyödyntämään opittuja taitoja välittömästi. Kurssilla pääset myös tekemään harjoituksia kouluttajan avustuksella.;True;Technology;Infra;Windows Workstations
567010;PowerShell 1.2.3;22.3.2019;22.3.2019;Online;PDF;Kurssin jälkeen tunnet PowerShellin perusteet ja pääset hyödyntämään opittuja taitoja välittömästi. Kurssilla pääset myös tekemään harjoituksia kouluttajan avustuksella.;True;Technology;Infra;Windows Workstations
566167;20486 Developing ASP.NET MVC Web Applications;3.10.2018;5.10.2018;Pasila;PDF;Tämä kurssi antaa hyvät valmiudet lähteä tekemään MVC-tekniikalla web-sovelluksia. Esimerkisi Web Forms-tekniikan osaaminen ei helpota MVC:n aloittamista vaan pikemminkin päinvastoin, vaikka molemmissa kirjastoissa on yhteisiä osia.;True;Technology;Software Development;Microsoft Technologies
566168;20486 Developing ASP.NET MVC Web Applications;3.10.2018;5.10.2018;Online;PDF;Tämä kurssi antaa hyvät valmiudet lähteä tekemään MVC-tekniikalla web-sovelluksia. Esimerkisi Web Forms-tekniikan osaaminen ei helpota MVC:n aloittamista vaan pikemminkin päinvastoin, vaikka molemmissa kirjastoissa on yhteisiä osia.;True;Technology;Software Development;Microsoft Technologies
566842;20486 Developing ASP.NET MVC Web Applications;23.1.2019;25.1.2019;Pasila;PDF;Tämä kurssi antaa hyvät valmiudet lähteä tekemään MVC-tekniikalla web-sovelluksia. Esimerkisi Web Forms-tekniikan osaaminen ei helpota MVC:n aloittamista vaan pikemminkin päinvastoin, vaikka molemmissa kirjastoissa on yhteisiä osia.;True;Technology;Software Development;Microsoft Technologies
566843;20486 Developing ASP.NET MVC Web Applications;23.1.2019;25.1.2019;Online;PDF;Tämä kurssi antaa hyvät valmiudet lähteä tekemään MVC-tekniikalla web-sovelluksia. Esimerkisi Web Forms-tekniikan osaaminen ei helpota MVC:n aloittamista vaan pikemminkin päinvastoin, vaikka molemmissa kirjastoissa on yhteisiä osia.;True;Technology;Software Development;Microsoft Technologies
566008;Projektityön perusteet projektitiimin jäsenelle;19.10.2018;19.10.2018;Pasila;Kirja tai muu tuloste;Oletko miettinyt koskaan, kuinka moni nykyään osallistuu projekteihin, tai onko jotain tahoa tai toimialaa joka ei osallistuisi. Nykyään lähes kaikki tarvitsevat projektityöhön liittyvää osaamista onnistuakseen omassa työssään ja tukeakseen laajempien asioiden onnistumista.;True;Leadership;Project Management
567077;Web-palvelun haavoittuvuudet ja tietokantojen tietoturva;20.11.2018;21.11.2018;Pasila;;Web-sovellustekijöiden suurin huolenaihe on se, että onko sovellus turvallinen! Hakkerit ja rikolliset kyllä löytävät pienimmänkin aukon, joka järjestelmään on jäänyt. Osta kurssi NYT.;True;Technology;Information Security
567079;Web-palvelun haavoittuvuudet ja tietokantojen tietoturva;20.11.2018;21.11.2018;Online;;Web-sovellustekijöiden suurin huolenaihe on se, että onko sovellus turvallinen! Hakkerit ja rikolliset kyllä löytävät pienimmänkin aukon, joka järjestelmään on jäänyt. Osta kurssi NYT.;True;Technology;Information Security
565209;Tekninen tietoturva;1.10.2018;2.10.2018;Pasila;PDF;Tule kokeilemaan, miten hakkeri toimii. Kurssiharjoituksien aikana kokeillaan hakkerin työvälineitä turvallisessa ympäristössä ja tutkitaan hyökkäyksien teknisiä perusteita ja testataan suojautumiskeinoja. Kääri hihat ja tule oppimaan ja kokeilemaan!;True;Technology;Information Security
565210;Tekninen tietoturva;1.10.2018;2.10.2018;Online;PDF;Tule kokeilemaan, miten hakkeri toimii. Kurssiharjoituksien aikana kokeillaan hakkerin työvälineitä turvallisessa ympäristössä ja tutkitaan hyökkäyksien teknisiä perusteita ja testataan suojautumiskeinoja. Kääri hihat ja tule oppimaan ja kokeilemaan!;True;Technology;Information Security
566127;Tekninen tietoturva;5.11.2018;6.11.2018;Online;PDF;Tule kokeilemaan, miten hakkeri toimii. Kurssiharjoituksien aikana kokeillaan hakkerin työvälineitä turvallisessa ympäristössä ja tutkitaan hyökkäyksien teknisiä perusteita ja testataan suojautumiskeinoja. Kääri hihat ja tule oppimaan ja kokeilemaan!;True;Technology;Information Security
566126;Tekninen tietoturva;5.11.2018;6.11.2018;Pasila;PDF;Tule kokeilemaan, miten hakkeri toimii. Kurssiharjoituksien aikana kokeillaan hakkerin työvälineitä turvallisessa ympäristössä ja tutkitaan hyökkäyksien teknisiä perusteita ja testataan suojautumiskeinoja. Kääri hihat ja tule oppimaan ja kokeilemaan!;True;Technology;Information Security
567044;Tekninen tietoturva;21.3.2019;22.3.2019;Pasila;PDF;Tule kokeilemaan, miten hakkeri toimii. Kurssiharjoituksien aikana kokeillaan hakkerin työvälineitä turvallisessa ympäristössä ja tutkitaan hyökkäyksien teknisiä perusteita ja testataan suojautumiskeinoja. Kääri hihat ja tule oppimaan ja kokeilemaan!;True;Technology;Information Security
567045;Tekninen tietoturva;21.3.2019;22.3.2019;Online;PDF;Tule kokeilemaan, miten hakkeri toimii. Kurssiharjoituksien aikana kokeillaan hakkerin työvälineitä turvallisessa ympäristössä ja tutkitaan hyökkäyksien teknisiä perusteita ja testataan suojautumiskeinoja. Kääri hihat ja tule oppimaan ja kokeilemaan!;True;Technology;Information Security
566768;PRINCE2® Foundation (eLearning-itseopiskelupaketti);12.9.2018;12.9.2018;Online;PDF;Hanki virallinen ja kansainvälisesti hyväksytty PRINCE2®-projektijohtamisen sertifikaatti nopeasti ja edullisesti.;True;Leadership;Project Management
567012;PRINCE2® Foundation (eLearning-itseopiskelupaketti);18.9.2018;18.9.2018;Online;PDF;Hanki virallinen ja kansainvälisesti hyväksytty PRINCE2®-projektijohtamisen sertifikaatti nopeasti ja edullisesti.;True;Leadership;Project Management
566163;20480 Programming in HTML5 with JavaScript and CSS3;8.10.2018;11.10.2018;Pasila;PDF;HTML5:een kuuluu iso joukko erilaisia tekniikoita, niiden laaja ymmärtäminen vaatii paljon aikaa. Tällä kurssilla pääset neljässä päivässä perehtymään tärkeimpiin ja tekniikoihin ja kuinka HTML5-sovelluskehitystä tehdään Microsoftin Visual Studio:lla. Jos aiot pysyä mukana selainsovelluskehityksessä, ilmoittaudu heti!;True;Technology;Software Development;Web Development
566164;20480 Programming in HTML5 with JavaScript and CSS3;8.10.2018;11.10.2018;Online;PDF;HTML5:een kuuluu iso joukko erilaisia tekniikoita, niiden laaja ymmärtäminen vaatii paljon aikaa. Tällä kurssilla pääset neljässä päivässä perehtymään tärkeimpiin ja tekniikoihin ja kuinka HTML5-sovelluskehitystä tehdään Microsoftin Visual Studio:lla. Jos aiot pysyä mukana selainsovelluskehityksessä, ilmoittaudu heti!;True;Technology;Software Development;Web Development
565581;TCP/IP-verkon vianselvitys;17.9.2018;18.9.2018;Pasila;PDF;Tule oppimaan nykyaikaisen tietoverkon loogista vianselvitystä. Useat vikatilanteet selviävät nopeasti, kunhan vikaa lähdetään etsimään oikeasta paikasta.;True;Technology;Infra;Communication Networks
565582;TCP/IP-verkon vianselvitys;17.9.2018;18.9.2018;Online;PDF;Tule oppimaan nykyaikaisen tietoverkon loogista vianselvitystä. Useat vikatilanteet selviävät nopeasti, kunhan vikaa lähdetään etsimään oikeasta paikasta.;True;Technology;Infra;Communication Networks
566135;TCP/IP-verkon vianselvitys;18.10.2018;19.10.2018;Pasila;PDF;Tule oppimaan nykyaikaisen tietoverkon loogista vianselvitystä. Useat vikatilanteet selviävät nopeasti, kunhan vikaa lähdetään etsimään oikeasta paikasta.;True;Technology;Infra;Communication Networks
566136;TCP/IP-verkon vianselvitys;18.10.2018;19.10.2018;Online;PDF;Tule oppimaan nykyaikaisen tietoverkon loogista vianselvitystä. Useat vikatilanteet selviävät nopeasti, kunhan vikaa lähdetään etsimään oikeasta paikasta.;True;Technology;Infra;Communication Networks
567042;TCP/IP-verkon vianselvitys;18.3.2019;19.3.2019;Pasila;PDF;Tule oppimaan nykyaikaisen tietoverkon loogista vianselvitystä. Useat vikatilanteet selviävät nopeasti, kunhan vikaa lähdetään etsimään oikeasta paikasta.;False;Technology;Infra;Communication Networks
567043;TCP/IP-verkon vianselvitys;18.3.2019;19.3.2019;Online;PDF;Tule oppimaan nykyaikaisen tietoverkon loogista vianselvitystä. Useat vikatilanteet selviävät nopeasti, kunhan vikaa lähdetään etsimään oikeasta paikasta.;False;Technology;Infra;Communication Networks
566584;SQL Server Analysis Services: Tabular;29.10.2018;30.10.2018;Pasila;;Kurssilla käydään läpi koko Tabular-projektin elinkaari: asennus, datan lataus, mallin luominen ja muokkaaminen, DAX-kieli ja paljon muuta.;True;Technology;Databases and Analytics;Reporting and BI
566585;SQL Server Analysis Services: Tabular;29.10.2018;30.10.2018;Online;;Kurssilla käydään läpi koko Tabular-projektin elinkaari: asennus, datan lataus, mallin luominen ja muokkaaminen, DAX-kieli ja paljon muuta.;True;Technology;Databases and Analytics;Reporting and BI
565744;PowerPoint-esitysten laatiminen;7.9.2018;7.9.2018;Pasila;;Tökkiikö esityksen teko?;True;Productivity;Sales and Marketing;Visualisation, Coceptualization and Presenting
